Product,SKU,Current Stock,Daily Demand,Lead Time (Days),Safety Stock,Reorder Point,Reorder Quantity,Supplier
Olive Oil,OIL-001,45,5,7,20,55,100,Italian Imports Co.
Balsamic Vinegar,BAL-002,30,3,5,10,25,60,Italian Imports Co.
Pasta,PAS-003,120,8,3,15,39,120,Local Distributor
Coffee,COF-004,25,6,7,15,57,80,Premium Roasters
Tea,TEA-005,80,4,5,10,30,70,Premium Roasters
Chocolate,CHO-006,15,2,10,10,30,40,Swiss Chocolate Co.
Canned Tomatoes,CAN-007,200,15,4,20,80,200,Local Distributor
Flour,FLO-008,90,7,5,15,50,100,Local Distributor
Sugar,SUG-009,60,5,5,10,35,80,Local Distributor
Honey,HON-010,35,3,7,10,31,50,Local Farm
